movie_name,Category,Genre
Manchester by the sea,movie,drama
Lady bird,movie,drama
1917,movie,war
Saving private ryan,movie,war
The autopsy of jane doe,movie,horror
The pianist,movie,drama
October,movie,romance
Atonement,movie,drama
The end of the fucking world (series),web series,drama
Dark (series),web series,thriller
The shinning,movie,horror
Doctor sleep,movie,horror
Dil chahta hai,movie,drama
Tumbbad,movie,horror
The punisher (series),web series,action
Get out,movie,horror
Midsommar,movie,horror
We bought a zoo,movie,drama
Vacation,movie,comedy
Adventureland,movie,comedy
Zombieland,movie,comedy
Zombieland double tap,movie,comedy
Into the wild,movie,drama
Once upon a time in hollywood,movie,drama
Book smart,movie,comedy
Jojo rabbit,movie,comedy
Baby driver,movie,action
Big Time Adolescence,movie,comedy
The king of staten Island,movie,comedy
